Date,Close,High,Low,Open,Volume,Daily_Return_Pct,Log_Return,Price_Range,Body_Size,Upper_Shadow,Lower_Shadow,MA_7,MA_14,MA_21,MA_50,MA_100,MA_200,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,RSI_14,BB_Mid,BB_Std,BB_Upper,BB_Lower,BB_Width,Volume_MA_20,Volume_Change_Pct,Volatility_30d,Year,Month,Quarter,Day_of_Week,Week_Number,Cumulative_Max,Drawdown_Pct
2017-11-09,320.88,329.45,307.06,308.64,893249984,,,22.39,12.24,8.57,1.58,,,,,,,320.88,320.88,0.0,0.0,0.0,,,,,,,,,,2017,11,4,Thursday,45,320.88,0.0
2017-11-10,299.25,324.72,294.54,320.67,885985984,-6.7408,-0.069788,30.18,21.42,4.05,4.71,,,,,,,317.55,319.28,-1.73,-0.346,-1.384,,,,,,,,-0.81,,2017,11,4,Friday,45,320.88,-6.7408
2017-11-11,314.68,319.45,298.19,298.59,842300992,5.1562,0.050277,21.26,16.09,4.77,0.4,,,,,,,317.11,318.94,-1.83,-0.6428,-1.1872,,,,,,,,-4.93,,2017,11,4,Saturday,45,320.88,-1.9322
2017-11-12,307.91,319.15,298.51,314.69,1613479936,-2.1514,-0.021749,20.64,6.78,4.46,9.4,,,,,,,315.69,318.12,-2.43,-1.0002,-1.4298,,,,,,,,91.56,,2017,11,4,Sunday,45,320.88,-4.042
2017-11-13,316.72,328.42,307.02,307.02,1041889984,2.8612,0.028211,21.4,9.7,11.7,0.0,,,,,,,315.85,318.02,-2.17,-1.2342,-0.9358,,,,,,,,-35.43,,2017,11,4,Monday,46,320.88,-1.2964
2017-11-14,337.63,340.18,316.76,316.76,1069680000,6.602,0.063933,23.42,20.87,2.55,0.0,,,,,,,319.2,319.47,-0.27,-1.0414,0.7714,,,,,,,,2.67,,2017,11,4,Tuesday,46,337.63,0.0
2017-11-15,333.36,340.91,329.81,337.96,722665984,-1.2647,-0.012728,11.1,4.6,2.95,3.55,318.63,,,,,,321.38,320.5,0.88,-0.6571,1.5371,,,,,,,,-32.44,,2017,11,4,Wednesday,46,337.63,-1.2647
2017-11-16,330.92,336.16,323.61,333.44,797254016,-0.7319,-0.007346,12.55,2.52,2.72,7.31,320.07,,,,,,322.85,321.27,1.58,-0.2097,1.7897,,,,,,,,10.32,,2017,11,4,Thursday,46,337.63,-1.9874
2017-11-17,332.39,334.96,327.52,330.17,621732992,0.4442,0.004432,7.44,2.22,2.57,2.65,324.8,,,,,,324.32,322.09,2.23,0.2783,1.9517,,,,,,,,-22.02,,2017,11,4,Friday,46,337.63,-1.552
2017-11-18,347.61,349.62,327.69,331.98,649638976,4.579,0.044772,21.93,15.63,2.01,4.29,329.51,,,,,,327.9,323.98,3.92,1.0066,2.9134,,,,,,,,4.49,,2017,11,4,Saturday,46,347.61,0.0
